feature,importance
model_encoded,0.6028948896404148
year,0.21419104609754652
odometer,0.05371891874206767
long,0.016506182040259068
lat,0.014339444046737615
cylinders,0.013640988128728004
fuel_gas,0.012410283852863031
condition_good,0.009722572561774091
drive_fwd,0.005172452549473901
condition_unknown,0.00361692439033982
manufacturer_ford,0.0029995528555973395
drive_rwd,0.0028757161117084775
drive_unknown,0.002191035482273164
type_pickup,0.002139925502122768
manufacturer_gmc,0.0020147138143895883
manufacturer_toyota,0.00199446290609106
type_unknown,0.001864394308509286
manufacturer_chevrolet,0.0018544318592435308
type_truck,0.0018175594211897344
fuel_other,0.0016210886206532852
